OLD WEATHER – USS JEANNETTE   ,,,,,,,,
,,,,,,,,
Ship date, Ship time of log entry,Ship time of Lt Chipp's notebook entry,Location,Lat decimal,Lon decimal,Log Comment,Log book page url,Lt Chipp's notebook
1879-09-11,,,,71.6,-175.2,,,
1879-09-12,,,,71.7,-175.3,,,
1879-09-13,,,,71.7,-175.4,,,
1879-09-14,,,,71.7,-175.5,,,
1879-09-15,,,,71.8,-175.6,,,
1879-09-16,,,,71.8,-175.6,,,
1879-09-17,,,,71.8,-175.5,,,
1879-09-18,,,,71.9,-175.4,,,
1879-09-19,,,,72.0,-175.4,,,
1879-09-20,,,,72.0,-175.4,,,
1879-09-21,23:30,,,72.1,-175.4,8 PM to Mid There was a fine aurora during the latter part of watch.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_116_1.jpg,
1879-09-22,,,,72.2,-175.6,,,
1879-09-23,,,,72.2,-175.6,,,
1879-09-24,01:40,,,72.2,-175.5,At 1.40 [AM] there was a splendid aurora.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_119_1.jpg,
1879-09-25,"03:00                                                      
21:00                        ",,,72.1,-175.2," At 3am the weather cleared. There was a fine aurora during watch.  At 9 (pm) a brilliant aurora extended in an arch about 60o in height from E.S.E. to N.N.E. (true). . Moon set about 9.30.                                                                                                                                                                                                                                              
(DeLong, Journal vol. 1 p. 135): At 1.50 am. a very curious electric phenomenon was observed. A ball of electric light formed about one quarter mile from the ship on the surface of the floe (in size about that of ""a barrel"", according to Mr. Dunbar), throwing out rays in all directions, and slowly rose and worked away from the ship, decreasing in size and brilliancy. When almost extinct it advanced again, increasing in brilliancy, and, descending to the floe, disappeared. This occurred twice in seven minutes. The appearance of the electric ball was preceded by a fine aurora. Unfortunately Mr. Dunbar, who had the watch, did not call me to see this extraordinary occurrence. Mr. Collins was called, but before he came on deck the display was over. The foregoing is made from Mr. Dunbar's description.",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_120_1.jpg                                                                                                                                                   https://archive.org/details/voyageofjeannett01delouoft,
1879-09-26,,,,72.2,-174.6,,,
1879-09-27,02:00,,,72.2,-174.4,Fine display of northern lights from 2 to 3 [AM] in different colored waves.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_122_1.jpg,
1879-09-28,,,,72.2,-174.4,,,
1879-09-29,,,,72.1,-174.5,,,
1879-09-30,,,,72.1,-174.6,,,
1879-10-01,,,,72.1,-174.7,,,
1879-10-02,,,,72.0,-175.0,,,
1879-10-03,,,,72.0,-175.2,,,
1879-10-04,,,,72.0,-175.5,,,
1879-10-05,,,,71.9,-175.7,,,
1879-10-06,,,,71.9,-176.0,,,
1879-10-07,,,,71.8,-176.2,,,
1879-10-08,,,,71.8,-176.3,,,
1879-10-09,,,,71.8,-176.3,,,
1879-10-10,,,,71.8,-176.2,,,
1879-10-11,00:00,,,71.7,-176.3,At 12 [Midnight] there was a moderate display of the aurora.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_137_1.jpg,
1879-10-12,,,,71.7,-176.6,,,
1879-10-13,,,,71.7,-176.8,,,
1879-10-14,,,,71.7,-177.1,,,
1879-10-15,01:00,,,71.7,-177.3,Brilliant aurora about 1 [AM],http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_141_1.jpg,
1879-10-16,,,,71.7,-177.6,,,
1879-10-17,,,,71.7,-177.8,,,
1879-10-18,,,,71.7,-178.1,,,
1879-10-19,,,,71.7,-178.3,,,
1879-10-20,,,,71.7,-178.6,,,
1879-10-21,03:00,,,71.7,-178.5,Com & until 4 AM Faint display of aurora last hour.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_147_1.jpg,
1879-10-22,20:30 to 23:00,,,71.8,-178.0,From 8.30 to 11 [PM] there was a fine display of the aurora in an arch Extending from E by N (true) to WNW (true) with top of the arch being about 70o above horizon.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_148_1.jpg,
1879-10-23,,,,71.8,-177.5,,,
1879-10-24,03:00,,,71.8,-177.3,Display of aurora at 3 [AM] and a fresh breeze from NW by N,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_150_1.jpg,
1879-10-25,,,,71.9,-177.4,,,
1879-10-26,,,,71.9,-177.5,,,
1879-10-27,,,,71.9,-177.7,,,
1879-10-28,,,,71.9,-177.8,,,
1879-10-29,,,,72.0,-177.8,,,
1879-10-30,,,,72.0,-177.8,,,
1879-10-31,,,,71.9,-177.8,,,
1879-11-01,,,,71.9,-177.8,,,
1879-11-02,02:00,,,71.9,-177.8,Aurora occasionally visible from 2 to 3[AM].,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_159_1.jpg,
1879-11-03,,,,71.9,-177.8,,,
1879-11-04,,,,71.9,-177.8,,,
1879-11-05,,,,71.9,-177.8,,,
1879-11-06,,,,71.9,-177.8,,,
1879-11-07,,,,71.9,-177.8,,,
1879-11-08,,,,71.9,-177.7,,,
1879-11-09,,,,71.9,-177.7,,,
1879-11-10,18:00,,,71.9,-177.7,"Weather cloudy and hazy until 6 (pm) when it became clear and almost cloudless – Very brilliant aurora.                                                                                                                                                                                                                                                                                                                                                                                      (Newcomb, Our Lost Explorers,  p283)                                                                         The finest I ever saw.  Six arches intersected by cirrus clouds  near the horizon and extended from west-northwest to east,covering almost half the heavens. Through this the stars were twinkling beautifully. Wonderfully grand! Some perpendicular rays near horizon, the while display full of majestic power.",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_167_1.jpg                                                                                                                                                                                                                           https://archive.org/stream/ourlostexplorers01newc#page/282/mode/2up,
1879-11-11,00:00 to 01:00,,,71.9,-177.7,Brilliant aurora until 1.30 [AM],http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_168_1.jpg,
1879-11-12,22:00 to 00:00,,,71.9,-177.5,Faint aurora and bright starlight from 10 to 12.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_169_1.jpg,
1879-11-13,"06:00                                                      
22:00",,,71.9,-177.4,Faint aurora at 6 [AM] Brilliant aurora about 10.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_170_1.jpg,
1879-11-14,20:00 to 00:00,,,71.9,-177.3,Faint aurora from 8 to 12 [PM],http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_171_1.jpg,
1879-11-15,PM,,,71.9,-177.2,Faint aurora,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_172_1.jpg,
1879-11-16,,,,71.9,-177.1,,,
1879-11-17,After 23:00,,,71.9,-177.0,"Bright and clear from 8 to 12. Brilliant aurora.                                                                                                                                                                                                    (DeLong, Journal vol. 1 p 172)    At eleven p.m. I went out to record the temperatures and anemometer, and stood on the hill a few moments regarding a beautiful auroral arch extending from E. by S. to W. by N., the crown being 70° in elevation and bearing north.",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_174_1.jpg,
1879-11-18,,,,72.0,-177.1,,,
1879-11-19,,,,71.9,-177.3,,,
1879-11-20,,,,71.9,-177.6,,,
1879-11-21,22:00 to 00:00,,,71.9,-177.9,Bright moon and stars. Halo about moon. Display of aurora between 10 and 12.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_178_1.jpg,
1879-11-22,AM,,,71.9,-178.1,Auroral arch to the N'd,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_179_1.jpg,
1879-11-23,22:00 to 00:00,,,71.9,-178.1,Auroral arch from 10 to 12,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_180_1.jpg,
1879-11-24,,,,71.9,-178.1,,,
1879-11-25,22:00 to 00:00,,,72.0,-178.1,Auroral arch between 10 and 12. Brilliant reflections under the moon.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_182_1.jpg,
1879-11-26,,,,72.0,-178.0,,,
1879-11-27,,,,72.0,-178.0,,,
1879-11-28,,,,72.0,-178.0,,,
1879-11-29,,,,72.0,-178.0,,,
1879-11-30,,,,72.0,-178.0,,,
1879-12-01,PM,,,72.1,-178.0,Occasional auroral gleams to N,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_188_1.jpg,
1879-12-02,23:50,,,72.4,-178.0,"Moon and stars very bright. … Auroral arch (34 degrees in altitude) from NNE to NNW (mag) which at 11.50 flashed into a magnificent auroral curtain. 

(DeLong, Journal vol1 p 189)  A quiet day. We had, in addition to one of the most beautiful moonlight effects  on the ice I had ever seen, and a sky perfectly free from clouds, a fine chance to witness auroral and other  effects.  At ten p.m. a lunar rainbow was visible, showing faintly the prismatic colors. Towards eleven p. m.  this was succeeded by a lunar halo in which the prismatic colors were clearly visible. Then flared up an auroral arch, extending from N. to N. E., whose crown  was 34° in altitude, and this arch, as if by magic, absorbed the lunar halo, or caused it to disappear. Then suddenly the lunar rainbow reappeared and arched  alongside the auroral arch; and finally. At 11.50, the auroral arch became an auroral  curtain, floating sheets of trembling flame down to the horizon.  Not a sound was heard during this display. Add to this picture the ship thrown by the bright moonlight against a clear, dark blue background, every rope and spar white with  frost, and a level floe surrounded with a fringe of fantastically shaped hummocks, and it would make a study  for an artist. I have remarked heretofore that these  wonderful auroral displays, are forerunners of cold weather, and I shall watch with interest the result of  this very high barometer and extraordinary atmospheric phenomena.",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_189_1.jpg,
1879-12-03,PM,,,72.5,-178.0,Auroral arch and streamers during the evening.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_190_1.jpg,
1879-12-04,,,,72.5,-178.0,,,
1879-12-05,PM,,,72.5,-178.0,Bright starlight. Auroral display during the evening and two meteors fell.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_192_1.jpg,
1879-12-06,PM,,,72.5,-178.1,Auroral displays frequent. Auroral display during evening.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_193_1.jpg,
1879-12-07,PM,,,72.5,-178.1,Very brilliant aurora.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_194_1.jpg,
1879-12-08,AM,,,72.5,-178.1,Very brilliant aurora,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_195_1.jpg,
1879-12-09,PM,,,72.5,-178.1,Slight auroral displays,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_196_1.jpg,
1879-12-10,,,,72.5,-178.2,,,
1879-12-11,PM,,,72.5,-178.2,Very brilliant auroral arch to N having wave like motions.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_198_1.jpg,
1879-12-12,PM,,,72.5,-178.2,Faint auroral gleams.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_201_1.jpg,
1879-12-13,,,,72.5,-178.2,,,
1879-12-14,PM,,,72.5,-178.3,Faint auroral arch and gleams.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_201_1.jpg,
1879-12-15,,,,72.5,-178.3,,,
1879-12-16,"AM                                                            
PM",,,72.5,-178.3,Faint auroral arch to the Northward (am).  Auroral display. (pm),http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_203_1.jpg,
1879-12-17,AM ,,,72.5,-178.3,Bright starlight and brilliant auroral arch to S'd of zenith.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_204_1.jpg,
1879-12-18,AM,,,72.5,-178.4,Auroral gleams at times.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_205_1.jpg,
1879-12-19,AM,,,72.4,-178.3,Bright starlight and auroral arches.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_206_1.jpg,
1879-12-20,,,,72.4,-178.3,,,
1879-12-21,,,,72.4,-178.2,,,
1879-12-22,"16:30                          
19:00                      
20:00                        
21:00                           
23:00",,,72.3,-178.1,"Bright moonlight and starlight. At 4.30 PM an Auroral arch of streamers in N by E magnetic. The crown of the arch having an altitude of 20o. At 7 (pm) faint aurora to Northward. At 8 (pm) brilliant Aurora in an arch from E to W ( both magnetic) passing through zenith, with bright bows shooting up occasionally from Northern horizon. At 9 double Auroral arch from W to NE x E (both magnetic), crown at North (magnetic) 60o in altitude. Faint auroral patches under moon S x E (mag.) At 11(pm)  auroral Streamers beginning at NW (mag) arching to 30 degrees altitude at N (mag) and returning at NNE (mag) in an ellipse to beginning.",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_209_1.jpg,
1879-12-23,"01:00                           
02:00                
03:00",,,72.3,-178.1,Very faint auroral arch through zenith at 1 am from W to NE x E (mag). At 2 auroral Streamers in NW. Auroral arches until 4. At 3 (am) an auroral ellipse from W to E. Centering in zenith having converging rays with brilliant colors. Moonlight and starlight. Moon at 7 much distorted by refractions.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_210_1.jpg,
1879-12-24,,,,72.2,-178.0,,,
1879-12-25,,,,72.2,-177.9,,,
1879-12-26,,,,72.1,-177.8,,,
1879-12-27,07:00,,,72.1,-177.8, At 7 (am) a faint Aurora to NE. ,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_214_1.jpg,
1879-12-28,,,,72.1,-177.7,,,
1879-12-29,,,,72.0,-177.6,,,
1879-12-30,"03:00                 
04:00",,,72.1,-177.6,"At 3 am an Auroral curtain from W to NNW, 60 degrees  in center of same. At 4 a faint Auroral arch. ",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_217_1.jpg,
1879-12-31,23:00,,Beset in the pack to the N.W. of Herald Island,72.4,-177.5,Faint auroral arch to NW from 11 PM. ,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_218_1.jpg,
1880-01-01,00:00,,Beset in the pack to the N'd & W'd of Herald Island,72.5,-177.4, At midnight an auroral arch to North extending from NE to NW and having a curtain from its eastern ends.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_219_1.jpg,
1880-01-02,"01:00 to 04:00                                        
23:00",,,72.6,-177.4,"Auroral arch 70o in alt. South of zenith, in N x NW from 1(am) to 4 (am) ... Auroral arch at 11 pm, crown passing through Polaris, and having radiation from Easterly end. Arch extending from NW to NE. ",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_220_1.jpg,
1880-01-03,"01:30
02:00
04:00
18:00
21:00
22:00
23:00    ",,,72.6,-177.4,"An auroral arch 20o in altitude was observed at 1am in N and NW. A faint Aurora 15o in altitude  N at 2 am and faint Auroral Streamers in NNE at 4 am ...At 6 PM faint auroral gleam in N. at 7 (pm)  the same to NNW. at 9(pm) Auroral arch to N which became very brilliant at 10 (pm), and at 11 (pm) became a faint broken arch 10o in altitude.",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_221_1.jpg,
1880-01-04,,,,72.7,-177.3,,,
1880-01-05,03:00,,,72.7,-177.3,At 3 am auroral arch 40° in altitude in N. extending from W. by N. to N.E. ,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_223_1.jpg,
1880-01-06,"00:00 to 06:00                                        
16:00 to 00:00",,,72.8,-177.3,"Faint auroral arches were observed until 6 am ... Auroral arches from 5pm to Midnight. The remarkable ones being a bright curtain at 9 (pm) forming an ellipse; two arches at 11, starting from a point in NE and ending respectively in NNW and W.  Coronas being 20o and 90o in altitude; and a four arch fan at midnight from the same point. Coronas 30o, 60o, 75o and 90o in Altitude, ending at NNW, NW, NW x W and WNW.  Twilight arch 10o at 4 PM. ",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_224_1.jpg,
1880-01-07,"01:00
02:00
03:00
04:00
05:00 to  08:00
17:00
22:00
23:00
00:00",,,72.8,-177.2,"At 1 (am) auroral arches, 25o N and 35o S with diffused light between them; at 2 (am) auroral arch through 80o N, from NE to SW x W; also arch 15o in S; at 3 (am) auroral arches in N and S 15o, Streamers and curved lines around the horizon with their center in zenith; at 4 (am) auroral arch in S 25o, extending from NE to W, fading upward; at 5 (am)  aurora in all parts of the heavens, but brightest at S, continuing until 8 (am) at which time very faint. Weather continues clear and pleasant, with haze around horizon much of the time. Faint auroral gleam in SW at 5 (pm); at 10 (pm) auroral arch to N; the same continuing at 11(pm)  and accompanied by another, both broken, the one 20o in alt the other passing through zenith. Under the lower one depended a black curtain through which stars could not be seen. The arches extended  from NW to NE and were dim at midnight.",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_225_1.jpg,
1880-01-08,00:00 to 07:00,,,72.9,-177.2,Auroral arches with diffused light until 7 am.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_226_1.jpg,
1880-01-09,,,,72.9,-177.2,,,
1880-01-10,,,,73.0,-177.2,,,
1880-01-11,AM,,,73.0,-177.1,A very faint auroral arch in N by W. alt. extending through zenith. ,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol002of004/vol002_010_1.jpg,
1880-01-12,01:00,,,72.9,-177.1,Faint auroral glow to N x NW at 1 (am).,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol002of004/vol002_011_1.jpg,
1880-01-13,"01:00
02:00
04:00
06:00                          ",,,72.9,-177.1,At 1 (am)  auroral arch to W'd  passing through zenith and having a curved curtain 15o in alt in the North with radiations toward the zenith. At 2 (am) auroral arch 25o in alt from NW to NE and a faint arch from East to zenith. At 4 (am) faint auroral arch from E to W through zenith. At 6 (am) faint diffused aurora.,http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol002of004/vol002_012_1.jpg,
1880-01-14,"01:00
01:30
02:00                                                       
21:00
22:00
23:00
00:00",,,72.8,-177.0,"At 1(am)  an auroral arch 30o in alt from NE to NW; and also a faint arch through the zenith; at 1.30 the two arches formed one arch through zenith from NE to W and quickly brightened from a dark strip into a curtain form, and was succeeded by an undulating movement with upward radiations. At 2 (am) one arch to N; 15o in alt and one to S'd 40o in alt with pale diffused light between; Southern arch very faint. Northern arch broken by dark Segment beneath working upward. ... At 9pm an Auroral arch to N 15o alt from NE to NW, which at 10 had become an irregular broken curtain. At 11(pm) two arches from NE to NW one 15o in alt the other 25o, the lower one having fitful radiations toward the upper one. Suddenly the two became one brilliant arch 20o in alt which at midnight had faded and became broken. ",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol002of004/vol002_013_1.jpg,
1880-01-15,"02:00
03:00
04:00
05:00                                                        
22:00
23:00
00:00                                                     ",,,72.8,-177.0,"The day opened very hazy, with Starlight and faint Aurora to N'd. Fresh Westerly breezes with falling barometer and steady low temperatures. At 2.30 (am) sky cleared. At 2 (am) a faint auroral arch, striped, passing through zenith; also two curtain arches in North, 10o and 20o in alt respectively with irregular upward radiations, extending from NE to West;  at 3 (am) faint auroral arch 5o S of zenith, and a broken Auroral curtain to N 20o in alt, with diffused light between them; at 4 (am) a striped arch through zenith from NE to W, and a faint Curtain arch to N with diffused light between them; and at 5 (am) brilliant auroral arch from E to W through zenith. Faint aurora in NE at 10pm, springing to NW with streamers. At 11(pm) auroral arch 15o in alt to N'd growing faint; and at 12 this same arch was broken but light with dark curtain underneath and streamers downward from Western End. ",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol002of004/vol002_014_1.jpg,
1880-01-16,"01:00
02:00
02:20                                                         
22:00
23:00
00:00       ",,,72.7,-177.0,"At 1 (am) auroral arch through zenith with radiating centre, also an arch to the N 20o in alt with elliptical cloud-like forms and undulating movement extending from NE to W x N. At 2 (am) an Auroral form in N with broken Semi-circle from E to W enclosing faint diffused light; and at 2.20 (am) an arch passing through zenith from E to W, simultaneously with ice movement.                                                                                                                                                                                                    At 10 (pm) an Auroral Arch was visible to the SSW.  At 11 (pm) there were four auroral arches: one 15o in altitude with its crown in the N, one 25o in alt with its crown in NW x W, one 15o in altitude with its arch in SW, and one 10o in alt with its crown in South. The amount of sky included by these arches was from NE around by N to SE. The beginning of the Second arch was alongside of its ending of the first, and so on. From these intermediate points Streamers ran upward toward the zenith. At midnight there were three arches to the S'd, 12o, 15o and 18o respectively in Altitude, and extending from ESE to WNW.  Through the middle one there were continued pulsations of light from E to W, and at intervals of a few seconds only, globes of light showing prismatic colors (red and green principally) rolled across from E to W against the wind and ended at about 5o from the horizon. Three of these globes in Transit were in sight at one time. This display lasted five minutes when the pulsations of light recommenced. Two arches were also visible in the N 15o and 20o in alt respectively with bands of light crossing them horizontally like chords. Northern and Southern Sets both originated in the ESE and ended in WNW while from both Sets there radiated faint arches through zenith.",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol002of004/vol002_015_1.jpg,
1880-01-17,"01:00
02:00
04:00
05:00                          ",,,72.7,-177.0,"At 1 (am) there were visible six auroral arches, two crossing the zenith, and two North of zenith and two south of zenith. Altitude of correct North 15 degrees – of correct South 10 degrees. Northern arches of curtain form. Southern arches dull diffused light between. At 2 an arch to S. 15 degrees in altitude and an arch to N. 8 degrees in altitude, also an arch through zenith from W x N to NE. Diffused light. At 3 (am) Auroral arch to S. 20 degrees in alt. With bands through and north of zenith, radiating to a circular span at zenith all faint. At 4 Auroral arch to S 20 degrees in alt. Lightest in SW x N. Streaks through zenith and radiations to it from all points in the North. At 5 (am) diffused Aurora.",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol002of004/vol002_016_1.jpg,
1880-01-18,"01:00
02:00
03:00
04:00
21:00
22:00
23:00
00:00",,,72.6,-176.9,"At 1am a faint auroral arch through zenith and one to N'd 5° in altitude. Diffused light over sky N. and S. At 2 auroral ellipses at N.E. Streamers in N. and N.W. Two arches one to S. 30° in altitude and one through zenith. At 3 auroral arch to S'd 30° in altitude, streaks through zenith. Streamers in N. & N.E. At 4 (am) arch in S. 30° in altitude with diffused light towards zenith.... Faint auroral arches at 9 (pm) and 10. At 11 a lunar halo 2° in diameter, and two arches from N.E. x E. to W.N.W. ends curving to N'd. Altitudes respectively 50° and 60°. At midnight, the lunar halo continued, with auroral gleams from N.E. to N.W.
",http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol002of004/vol002_017_1.jpg,
1880-01-19,,,,72.6,-176.9,,,
1880-01-20,,,,72.5,-176.9,,,
1880-01-21,,,,72.5,-176.8,,,
1880-01-22,,,,72.4,-176.8,,,
